0001 0000
0004 0003
0008 0006
000C 0009
0010 000C
0014 000F
0018 0012
001C 0015
0020 0018
0024 001B
0028 001E
002C 0021
0030 0024
0034 0027
0038 002A
003C 002D
0040 0030
0044 0033
0048 0036
004C 0039
0050 003C
0054 003F
0058 0042
005C 0045
0060 0048
0064 004B
0068 004E
006C 0051
0070 0054
0074 0057
0078 005A
007C 005D
0080 0060
0084 0063
0088 0066
008C 0069
0090 006C
0094 006F
0098 0072
009C 0075
00A0 0078
00A4 007B
00A8 007E
00AC 0081
00B0 0084
00B4 0087
00B8 008A
00BC 008D
00C0 0090
00C4 0093
00C8 0096
00CC 0099
00D0 009C
00D4 009F
00D8 00A2
00DC 00A5
00E0 00A8
00E4 00AB
00E8 00AE
00EC 00B1
00F0 00B4
00F4 00B7
00F8 00BA
00FC 00BD
0100 00C0
0104 00C3
0108 00C6
010C 00C9
0110 00CC
0114 00CF
0118 00D2
011C 00D5
0120 00D8
0124 00DB
0128 00DE
012C 00E1
0130 00E4
0134 00E7
0138 00EA
013C 00ED
0140 00F0
0144 00F3
0148 00F6
014C 00F9
0150 00FC
0154 00FF
0158 0102
015C 0105
0160 0108
0164 010B
0168 010E
016C 0111
0170 0114
0174 0117
0178 011A
017C 011D
0180 0120
0184 0123
0188 0126
018C 0129
0190 012C
0194 012F
0198 0132
019C 0135
01A0 0138
01A4 013B
01A8 013E
01AC 0141
01B0 0144
01B4 0147
01B8 014A
01BC 014D
01C0 0150
01C4 0153
01C8 0156
01CC 0159
01D0 015C
01D4 015F
01D8 0162
01DC 0165
01E0 0168
01E4 016B
01E8 016E
01EC 0171
01F0 0174
01F4 0177
01F8 017A
